id	stable_key	kind	source_record_id	sha256	note
1	evidence.trailblazer-elation.ultimate-source	SourcePayload	1	f30d262673ee24ce7c5944da20d4052295baf1444013082cdbd48912ab715dd5	Prepared normalized May the Trailblaze Fly You Starward evidence.
2	evidence.trailblazer-elation.elation-skill-source	SourcePayload	1	41803edd31826ff48192c41e274f847d90d75e1ec7292f1a281b97b9fa3b6518	Prepared normalized I Said Elation Did I Stutter evidence.
3	evidence.trailblazer-elation.passive-source	SourcePayload	1	2c95faba307b47cba7317308d45004ab21753c4a87a2db2d88ecf56462088bc0	Prepared normalized That Smile Hits Different evidence.
4	evidence.trailblazer-elation.fixture-contract	GoldenFixture	1	33fce667cca4acf676074af7f9f4f512674f19d327635d268864150ad6b7635a	SHA-256 of trailblazer-elation-forced-skill-generic-envelope-v1.
