id	stable_key	kind	source_record_id	sha256	note
1	evidence.yao-guang.elation-damage-source	SourcePayload	1	9edca7b273bf822d09bbabe4ca7d94df617a74c66f0e64f6b1c681e1dfcd2662	Prepared normalized Yao Guang Elation damage evidence.
2	evidence.yao-guang.ultimate-source	SourcePayload	1	0e2c95f9423c1a42ff615df6292d35c870fffffacde875f42ce145a14c2440e5	Prepared normalized Yao Guang Ultimate evidence.
3	evidence.yao-guang.passive-source	SourcePayload	1	10a04a1c62ad3721cd31a1cbe0daeb329035e093f70a44264f3c00eca3c1dbc5	Prepared normalized Yao Guang passive evidence.
4	evidence.yao-guang.fixture-contract	GoldenFixture	1	2d1f35de96098c655bf19a263984f3ac3c516e9609ef383311545100f91048a0	SHA-256 of yao-guang-elation-shared-actor-resource-envelope-v1.
